system,rider_wait_mean,rider_wait_p50,rider_wait_p90,rider_wait_p95,eta_error_mean,eta_error_p50,eta_error_p90,late_rate_3min,late_rate_5min,food_wait_mean,rider_idle_mean,for_noise_std,residual_drift_mean,residual_drift_std,safety_buffer_mean,safety_buffer_std,assign_delay_mean,assign_delay_std,dispatch_cost_mean,dispatch_cost_std,calibration_coverage_p90,calibration_error,decision_volatility_mean,decision_volatility_max,congestion_volatility_mean,run_id,mri_mean,mri_std,kvi_mean,kvi_std
RPKOE,7.7002052673678945,7.013269984759347,15.655399404039855,18.977110167307604,3.672625824660757,2.9445065350341153,7.745525109952716,0.74615,0.6339,0.846381933446314,0.846381933446314,1.7462792324067342,0.09561558746439193,1.020399265175966,13.600807099675695,6.303837890354908,1.0609406989056014,2.3359373917749116,8.819430267367895,6.701922263509352,0.95555,0.05554999999999999,2.027317971403361,5.84143082241655,0.08422061208771556,7,0.6184461403849187,0.030873239934051225,6.42028703901777,3.3115224148598794
Baseline,9.147985181267996,8.71712884605165,17.780617701845365,21.15936599842522,3.6297003672869135,2.8125283420409666,7.810209030237441,0.78705,0.70955,0.8341043522151822,0.8341043522151822,1.9077181086915862,0.0,0.0,3.0,0.0,0.0,0.0,10.328560181267996,7.271929300257407,,,0.0,0.0,,8,,,,
RPKOE,8.145176357468424,7.369932807454433,16.56244567165874,20.1095587538595,3.910025505296157,3.1188247621497247,8.290703353323194,0.75655,0.64735,0.8395332153515493,0.8395332153515493,1.9077181086915862,0.171039442649049,1.0846169472029767,14.367182068375273,6.498486133040803,1.00823768693594,2.303093538116814,9.280001357468425,7.030593568529172,0.95635,0.05635000000000001,2.0007785695069242,7.140593155314243,0.0922670943185122,8,0.6135757884300193,0.03301136975791691,6.771707947844929,3.3439823606630883
Baseline,8.834535887609565,8.476651502365286,17.127770488995584,20.429048209286048,3.4850098868719686,2.7083336428772764,7.4178822175441885,0.7821,0.7007,0.848219279754793,0.848219279754793,1.8564074607151682,0.0,0.0,3.0,0.0,0.0,0.0,10.007685887609565,7.066418338645358,,,0.0,0.0,,9,,,,
RPKOE,7.808560276938521,7.057524235482205,16.035724619325986,19.35815436743451,3.7815524798005966,3.0284336363304,7.926316784342391,0.7476,0.63255,0.853187132604701,0.853187132604701,1.8564074607151682,0.10984390981825737,1.0802411667971024,13.86848454971378,6.4801889500536,1.0309434635209525,2.297803728202095,8.929960276938521,6.832893663047775,0.95545,0.05545,2.002728439900722,5.777788206757766,0.09342293973422505,9,0.6176109974240442,0.03414603220670521,6.496418736118497,3.3971437313715973
Baseline,9.14366659359655,8.674806709488365,17.872292987466384,20.997760058629826,3.646908834015134,2.852574173742508,7.732030045468371,0.7886,0.70945,0.8005005096084831,0.8005005096084831,1.8874146869490558,0.0,0.0,3.0,0.0,0.0,0.0,10.32656659359655,7.28024927935083,,,0.0,0.0,,10,,,,
RPKOE,8.09591901224992,7.263975632695548,16.531251922889897,20.051953133202286,3.9549600107263876,3.143282083621937,8.394708372049987,0.75455,0.64475,0.8048189184544181,0.8048189184544181,1.8874146869490558,0.16523719304539722,1.2266019413618472,14.680122085011343,7.242702553041055,1.0520659901925626,2.431177840021101,9.22774401224992,7.040434870757037,0.9574,0.05740000000000001,2.0628517350290925,7.72791278958962,0.09691165572546548,10,0.6159789391244144,0.03351071284000555,6.970744719145256,3.842701036561912
Baseline,8.717974401204101,8.349226858935644,16.880864254520528,20.162662348414294,3.407339692110008,2.663282198188305,7.2427642167725885,0.7797,0.6964,0.8705023946756646,0.8705023946756646,1.8803512042557025,0.0,0.0,3.0,0.0,0.0,0.0,9.887524401204102,6.982240812755902,,,0.0,0.0,,11,,,,
RPKOE,7.643596255978538,6.909683825359394,15.633728317660111,18.99860176076742,3.6811238091233243,2.947597090806573,7.828408425543361,0.74615,0.6271,0.8745831185790855,0.8745831185790855,1.8803512042557025,0.16266923801840869,1.0285655952300097,13.460419535226631,6.161823846871742,1.0784588691289843,2.3240181035830045,8.762821255978539,6.692183570509866,0.95745,0.05745,2.050790396817115,6.130316364236769,0.08805743851616674,11,0.6183231885387341,0.033808388505307235,6.308380911343952,3.2106985103667363
Baseline,8.805394591790485,8.40152879566756,17.132482125145625,20.531682198413915,3.4759643746488096,2.7131521953735174,7.425780694208173,0.783,0.7012,0.8452189585924982,0.8452189585924982,1.8868013265794092,0.0,0.0,3.0,0.0,0.0,0.0,9.979894591790485,7.054641009199425,,,0.0,0.0,,12,,,,
